Index,Total_Time,Total_Cost
49,186.2198,60879888268156.42
99,185.9648,60938133735434.95
149,185.70979999999997,60996379202713.484
199,185.45479999999998,61054624669992.02
249,185.19979999999998,61112870137270.55
299,184.9448,61171115604549.08
349,184.6898,61229361071827.61
399,184.43489999999997,61287603289106.14
449,184.4348,61287608216209.47
499,184.17989999999998,61345848756384.68
549,184.1798,61345853683488.0
599,183.92489999999998,61404094223663.21
649,183.9248,61404099150766.53
699,183.66989999999998,61462339690941.74
799,183.6698,61462344618045.06
849,183.4149,61520585158220.27
348,183.4148,61520590807629.2
899,183.1599,61578830625498.8
448,183.15980000000002,61578837952011.06
949,182.9049,61637076092777.33
548,182.90480000000002,61637083419289.59
1049,182.6499,61695318310055.86
648,182.6498,61695328886568.125
1099,182.39499999999998,61753563777334.41
1149,182.3949,61753568704437.72
798,182.3948,61753574353846.66
1199,182.14,61811809244612.93
1249,182.1399,61811814171716.25
1299,181.885,61870054711891.46
1349,181.88490000000002,61870059638994.78
146,181.8849,61870061910118.25
1399,181.63,61928300179169.99
1449,181.6299,61928301856273.31
1499,181.375,61986545646448.52
1048,181.3749,61986548045857.45
1549,181.12,62044791113727.05
296,181.1199,62044798311953.85
1599,180.865,62103033331005.58
346,180.86489999999998,62103043779232.375
1649,180.61,62161278798284.125
1699,180.60999999999999,62161282152490.77
1348,180.6099,62161289374796.375
446,180.60989999999998,62161290923614.234
1749,180.355,62219524265562.66
1448,180.3549,62219531592074.91
1799,180.1001,62277769732841.18
1047,180.1,62277774531659.05
646,180.0999,62277781858171.3
1949,179.8451,62336015200119.71
1999,179.845,62336016877223.03
746,179.84499999999997,62336025752553.16
796,179.8449,62336027325449.83
2099,179.5901,62394260667398.24
2149,179.58999999999997,62394262344501.57
2199,179.3351,62452506134676.77
2249,179.33499999999998,62452507811780.1
2299,179.0801,62510748351955.3
1748,179.07999999999998,62510754001364.24
2399,178.8251,62568993819233.84
1046,178.825,62569001017460.625
2499,178.5701,62627239286512.375
2549,178.57009999999997,62627242640719.03
1998,178.57,62627246613024.625
2649,178.31509999999997,62685484753790.91
2148,178.315,62685492080303.16
2699,178.0602,62743730221069.43
2749,178.06009999999998,62743731898172.75
2248,178.06,62743737547581.69
2799,177.8052,62801975688347.96
2849,177.80509999999998,62801977365451.29
1446,177.805,62801984563678.08
2899,177.5502,62860221155626.49
2949,177.5501,62860222832729.82
2448,177.55,62860236867655.41
3049,177.2952,62918463372905.02
3099,177.2951,62918468300008.35
2598,177.29500000000002,62918482334933.94
3149,177.04019999999997,62976708840183.56
2648,177.0401,62976714489592.49
3249,176.78519999999997,63034954307462.09
1646,176.7851,63034961505688.89
3399,176.53019999999998,63093199774740.625
1746,176.5301,63093206972967.42
3499,176.27519999999998,63151445242019.16
2948,176.2751,63151452568531.41
3599,176.0203,63209690709297.68
3649,176.0202,63209692386401.016
3098,176.0201,63209698035809.94
2046,176.02009999999999,63209709543041.125
3749,175.7653,63267936176576.22
3799,175.7652,63267937853679.54
2146,175.7651,63267945051906.34
3849,175.51029999999997,63326178393854.75
3899,175.5102,63326183320958.07
2246,175.5101,63326190519184.875
3999,175.25529999999998,63384423861133.28
4049,175.2552,63384428788236.6
3448,175.2551,63384439573162.19
4149,175.00029999999998,63442669328411.81
3498,175.0002,63442674977820.74
2446,175.0001,63442689839258.58
642,175.00009999999997,63442694301377.67
4249,174.7453,63500914795690.34
2496,174.7452,63500921993917.14
2546,174.74519999999998,63500925348123.8
2596,174.74509999999998,63500935306537.11
4349,174.4903,63559160262968.875
2646,174.4902,63559167461195.67
4499,174.2353,63617405730247.4
3898,174.23520000000002,63617413056759.66
2746,174.2352,63617414605577.516
4599,173.9803,63675651197525.94
4048,173.98020000000002,63675658524038.19
2846,173.9802,63675660072856.06
992,173.98019999999997,63675674597595.13
4699,173.72539999999998,63733893414804.47
4749,173.7253,63733898341907.79
2946,173.7252,63733905540134.59
2996,173.72519999999997,63733912248547.91
4849,173.47039999999998,63792142236289.66
4899,173.4703,63792143809186.32
3096,173.47019999999998,63792151007413.125
4999,173.2154,63850387703568.19
5049,173.2153,63850389276464.85
3146,173.21529999999998,63850391547588.33
4398,173.2152,63850400061390.44
2144,173.21519999999998,63850401273509.53
5149,172.9604,63908633170846.72
5199,172.96030000000002,63908634743743.39
3246,172.9603,63908637014866.86
4548,172.9602,63908645528668.97
5299,172.7054,63966876961021.92
4598,172.7053,63966880933327.53
3446,172.7052,63966892544765.36
4698,172.4504,64025123150606.06
3496,172.4503,64025127949423.92
3546,172.45029999999997,64025131303630.58
2444,172.4502,64025146060861.77
5599,172.1954,64083369572682.31
4898,172.1953,64083373544987.91
5649,172.19529999999997,64083376281095.63
2594,172.1952,64083391528140.305
5699,171.9404,64141615039960.85
5048,171.9403,64141619012266.44
3796,171.94029999999998,64141620561084.31
5799,171.6855,64199857257239.38
3846,171.6854,64199861101259.516
5198,171.6853,64199864479544.984
3896,171.68529999999998,64199866028362.84
5949,171.4305,64258106078724.56
3996,171.4304,64258106568538.05
4046,171.4303,64258111495641.375
4697,171.1755,64316349636407.66
4146,171.1754,64316352035816.58
5498,171.1753,64316360549618.69
6199,170.9205,64374597013281.625
4246,170.92039999999997,64374597503095.11
5648,170.9203,64374606016897.22
6299,170.6655,64432840803456.84
4346,170.66539999999998,64432842970373.64
4396,170.6653,64432853032993.625
5798,170.4105,64491086993040.97
4496,170.41039999999998,64491088437652.17
4546,170.4103,64491098500272.16
5297,170.15550000000002,64549333182625.11
4596,170.1554,64549333904930.71
3444,170.1553,64549348766368.555
4696,169.9005,64607576122209.234
4746,169.9004,64607581049312.56
4796,169.90030000000002,64607601070345.84
6949,169.6456,64665821099674.28
4846,169.64549999999997,64665824943694.43
4896,169.6454,64665826516591.09
4946,169.6453,64665846537624.375
7099,169.39049999999997,64724069921159.484
5046,169.3904,64724071983869.625
5797,169.1356,64782313478842.57
7249,169.13549999999998,64782315388438.016
5196,169.1354,64782317451148.16
5296,168.88049999999998,64840559668426.69
6648,168.8804,64840566505125.47
7499,168.6256,64898804645891.74
7549,168.6255,64898806322995.07
5496,168.6254,64898813521221.875
5546,168.62539999999998,64898816875428.516
6948,168.37060000000002,64957050835475.875
7649,168.3705,64957051790273.6
5646,168.3704,64957058988500.41
6297,168.1156,65015297025060.03
7749,168.1155,65015297257552.13
4394,168.11540000000002,65015309254596.81
2140,168.1154,65015310466715.875
5796,167.86059999999998,65073539964644.16
7799,167.8605,65073542724830.67
4544,167.8604,65073554721875.34
3342,167.86039999999997,65073566124899.85
7849,167.60559999999998,65131784942109.2
4594,167.6055,65131790126533.91
6046,167.6054,65131803775852.625
3442,167.60539999999997,65131804987971.734
4694,167.3506,65190032343812.43
6146,167.3505,65190035826304.55
3542,167.35049999999998,65190043746836.95
2440,167.3504,65190055254068.125
636,167.35039999999998,65190059716187.22
6947,167.09570000000002,65248277321277.47
8049,167.0956,65248279230872.91
6246,167.0955,65248281293583.08
2590,167.09539999999998,65248300721346.66
6296,166.8406,65306523510861.61
7748,166.84050000000002,65306526993353.72
6346,166.8405,65306528542171.59
8249,166.5857,65364768488326.65
5795,166.58569999999997,65364769700445.75
8299,166.5856,65364770165429.97
7798,166.5855,65364772460632.266
3942,166.58549999999997,65364785179982.53
7848,166.3306,65423014677910.8
6646,166.3305,65423019476728.66
6696,166.33049999999997,65423022830935.3
4693,166.07569999999998,65481258829614.016
8549,166.0756,65481261099987.03
5494,166.0755,65481269742825.06
5544,166.07549999999998,65481273097031.71
6946,165.8207,65539503807079.05
8599,165.8206,65539506567265.57
6996,165.82059999999998,65539508734182.375
5644,165.82049999999998,65539515210103.59
8649,165.5657,65597748784544.1
7096,165.5656,65597752628564.25
7146,165.5655,65597764264080.875
5794,165.3107,65655996186247.34
7246,165.3106,65655998095842.78
7296,165.3105,65656009731359.41
7847,165.0557,65714241163712.39
7396,165.0556,65714243563121.31
4592,165.05559999999997,65714246348137.08
3440,165.0555,65714257959574.91
7496,164.8007,65772487353296.516
7546,164.80059999999997,65772489030399.84
7596,164.8005,65772509051433.11
9249,164.54579999999999,65830732330761.56
9299,164.5457,65830734007864.89
7646,164.54559999999998,65830734497678.375
7696,164.5455,65830754518711.64
8648,164.29070000000002,65888978520345.69
7746,164.29059999999998,65888979964956.91
5793,164.0358,65947222672048.94
9549,164.03570000000002,65947224942421.95
7796,164.0356,65947225432235.44
7846,163.7807,66005467649513.97
5342,163.78069999999997,66005473788736.39
6644,163.7806,66005475698331.84
9849,163.5258,66063712626979.02
7946,163.52569999999997,66063716470999.15
7996,163.5256,66063724752309.125
6944,163.2708,66121960028682.24
8046,163.27069999999998,66121961938277.68
8096,163.2706,66121970219587.66
8647,163.0158,66180205006147.29
8146,163.01569999999998,66180207405556.21
4390,163.0156,66180218447803.16
8246,162.76080000000002,66238451195731.42
10349,162.7608,66238452383021.26
8296,162.76069999999999,66238452872834.734
4540,162.7606,66238463915081.69
10449,162.5058,66296696173196.46
8396,162.5057,66296698340113.266
8446,162.50560000000002,66296711756939.89
8496,162.5056,66296718361146.55
4690,162.2508,66354941537018.78
8546,162.2507,66354943807391.8
9998,162.25060000000002,66354964060917.2
632,162.2506,66354968909393.58
6943,161.9959,66413186514483.83
10699,161.9958,66413187211960.18
10749,161.99579999999997,66413188784856.85
8596,161.9957,66413189274670.34
10198,161.9956,66413209528195.734
8646,161.74079999999998,66471431491948.875
7744,161.7407,66471436186560.09
331,161.7406,66471457316256.25
10999,161.4859,66529676469413.92
11049,161.48579999999998,66529678146517.24
7794,161.4857,66529681653838.63
431,161.4856,66529704460638.11
11149,161.2308,66587923613795.77
8996,161.2307,66587930707815.91
6692,161.23069999999998,66587935274141.67
531,161.2306,66587949927916.64
9847,160.97590000000002,66646168848582.21
11299,160.9758,66646169081074.3
5490,160.97570000000002,66646178936031.41
5540,160.9757,66646182290238.06
631,160.9756,66646195395195.17
11349,160.7208,66704414548352.836
5640,160.7207,66704424403309.94
781,160.7206,66704440862473.7
11399,160.46589999999998,66762656765631.37
9396,160.4658,66762662182548.19
9496,160.4657,66762672245168.16
7192,160.46569999999997,66762683415700.56
5790,160.21089999999998,66820905379453.69
9546,160.2108,66820907649826.72
9646,160.2107,66820917712446.67
7342,160.21069999999997,66820930560082.42
7843,159.95589999999999,66879150356918.75
9696,159.9558,66879153117105.266
11248,159.9557,66879166766423.984
3436,159.95569999999998,66879170402781.28
9846,159.7009,66937395334383.8
11298,159.70080000000002,66937398816875.89
7542,159.7008,66937401473606.21
1031,159.70069999999998,66937414554484.5
11899,159.446,66995640311848.82
11949,159.4459,66995641988952.15
11348,159.44580000000002,66995644284154.42
10146,159.4458,66995645832972.3
10196,159.4457,66995662499798.91
11398,159.1909,67053886501432.95
10296,159.1908,67053891196044.16
1231,159.1907,67053910416144.89
10997,158.93599999999998,67112132691017.11
12149,158.9359,67112132923509.21
10396,158.9358,67112136663322.7
7792,158.93579999999997,67112137875441.81
1331,158.9357,67112155883423.42
12299,158.6809,67170378390787.75
6640,158.6808,67170384891538.19
6690,158.68079999999998,67170388245744.84
1431,158.6807,67170398100701.95
12399,158.426,67228620608066.28
10596,158.4259,67228624452086.42
7942,158.42589999999998,67228628914205.516
10646,158.42579999999998,67228632733396.41
629,158.4257,67228651616798.35
6940,158.171,67286869221888.59
10696,158.17090000000002,67286869919364.95
10746,158.1709,67286871492261.625
10796,158.17079999999999,67286878200674.92
779,158.1707,67286897084076.88
11397,157.916,67345112987234.555
10896,157.9159,67345115386643.484
12098,157.9158,67345127254652.234
10996,157.661,67403359176818.69
11046,157.6609,67403360853922.016
8292,157.66089999999997,67403365316041.11
12198,157.6608,67403372721930.766
12949,157.406,67461604154283.73
11146,157.4059,67461606321200.55
11196,157.40589999999997,67461609675407.2
11246,157.4058,67461619738027.16
12398,157.151,67519850343867.875
11296,157.15089999999998,67519851788479.06
1029,157.1508,67519870776087.68
11897,156.8961,67578096533452.01
13149,156.89600000000002,67578096765944.11
11346,156.89589999999998,67578097255757.61
1981,156.8958,67578113121651.67
11396,156.641,67636339473036.14
7740,156.6409,67636345379766.44
2131,156.6408,67636358588930.21
13499,156.3861,67694584450501.18
11546,156.386,67694588294521.33
7790,156.3859,67694590847044.984
2231,156.38580000000002,67694604056208.74
7840,156.131,67752833064323.516
4585,156.13099999999997,67752838248748.21
11696,156.1309,67752838688903.17
1429,156.1308,67752854322305.13
12397,155.8761,67811076829669.47
11746,155.87599999999998,67811079229078.39
13098,155.8759,67811087742880.484
2431,155.87580000000003,67811103376282.45
627,155.8758,67811107838401.53
11896,155.6211,67869323019253.59
11946,155.62099999999998,67869324696356.92
13248,155.6209,67869333210159.016
2581,155.6208,67869348843560.984
14049,155.3661,67927567996718.64
12046,155.36599999999999,67927570163635.45
12096,155.3659,67927580226255.42
13498,155.11110000000002,67985814186302.766
14199,155.1111,67985815141100.5
12146,155.111,67985815630913.984
12196,155.11090000000002,67985825693533.95
12246,155.1109,67985834079050.59
12947,154.8561,68044060375886.914
12296,154.856,68044061098192.516
2831,154.85590000000002,68044073609879.93
1729,154.8559,68044076731594.47
12396,154.60109999999997,68102303315471.05
11294,154.601,68102308010082.26
2931,154.60090000000002,68102319077158.46
12496,154.6009,68102325013607.66
14549,154.3462,68160548292936.1
12546,154.34609999999998,68160552136956.234
11344,154.346,68160553477360.8
3081,154.3459,68160564544436.99
10192,154.34589999999997,68160574943005.28
11394,154.09109999999998,68218795694639.33
12796,154.091,68218799177131.42
2129,154.09089999999998,68218814810533.39
13497,153.83620000000002,68277040672104.37
10993,153.8362,68277041884223.47
14849,153.8361,68277042581699.81
12896,153.836,68277044644409.97
14899,153.83599999999998,68277050967216.45
2229,153.83589999999998,68277060277811.92
12946,153.5811,68335286861688.5
14398,153.58100000000002,68335293698387.266
12996,153.581,68335295247205.14
3431,153.58089999999999,68335306081789.234
15049,153.3262,68393531839153.55
12395,153.32619999999997,68393533051272.65
15099,153.3261,68393533516256.875
13096,153.326,68393540714483.67
2429,153.3259,68393559597885.63
14548,153.0712,68451778028737.69
15199,153.0711,68451778983535.4
13246,153.071,68451786181762.2
2529,153.07099999999997,68451795106750.85
2579,153.0709,68451805065164.164
11393,152.81619999999998,68510022180440.92
15299,152.8161,68510024450813.93
3781,152.816,68510034098108.18
2629,152.81599999999997,68510037219822.72
13496,152.56119999999999,68568267157905.95
15399,152.5611,68568269918092.48
3881,152.561,68568279565386.71
2729,152.56099999999998,68568284364204.57
15449,152.3062,68626512135371.0
12294,152.30610000000001,68626517319795.71
13696,152.3061,68626517552287.81
4031,152.306,68626525032665.24
13746,152.30599999999998,68626527719114.44
12394,152.0512,68684759537074.24
13846,152.0511,68684763019566.34
2929,152.051,68684775298761.64
14547,151.7963,68743004514539.29
15699,151.7962,68743006424134.73
13996,151.7961,68743008486844.875
3079,151.796,68743020766040.17
14046,151.5412,68801250704123.41
15298,151.5411,68801254186615.516
3129,151.54109999999997,68801261306215.38
4381,151.541,68801266570017.49
15899,151.28629999999998,68859495681588.46
15949,151.2862,68859497358691.78
15398,151.2861,68859499653894.06
7786,151.28609999999998,68859503290251.36
4531,151.286,68859512037296.02
16049,151.0313,68917741253073.64
15448,151.0312,68917741871172.59
16099,151.03119999999998,68917742825970.31
14396,151.03109999999998,68917746669990.45
3429,151.031,68917762303392.414
12393,150.7763,68975986022875.83
16249,150.7762,68975988293248.84
4731,150.77609999999999,68975994586336.43
4781,150.776,68976014607369.71
14546,150.5213,69034231000340.875
16349,150.5212,69034233760527.38
4881,150.5211,69034240053614.96
4931,150.52100000000002,69034260074648.24
16399,150.2663,69092475977805.914
14746,150.2662,69092479821826.05
5031,150.2661,69092485520893.49
16499,150.0113,69150723122187.76
14846,150.0112,69150725289104.58
12142,150.01119999999997,69150728074120.35
5181,150.0111,69150730988172.03
15447,149.7563,69208968356974.19
14946,149.75619999999998,69208970756383.11
4029,149.7561,69208981254268.42
16749,149.5013,69267214056744.836
15096,149.50119999999998,69267216223661.64
5481,149.5011,69267227058245.74
16849,149.2464,69325456274023.36
16899,149.2463,69325461201126.695
15196,149.2462,69325461690940.17
5631,149.2461,69325472525524.27
2025,149.24609999999998,69325488494874.53
11390,148.9913,69383704887845.67
15296,148.9912,69383707158218.7
4379,148.99110000000002,69383722791620.67
2125,148.9911,69383724003739.75
13493,148.7364,69441949865310.734
17249,148.7363,69441950562787.086
15396,148.7362,69441952625497.25
4529,148.7361,69441968258899.2
15446,148.4813,69500194842775.766
17349,148.48129999999998,69500196030065.61
16698,148.4812,69500201679474.55
6031,148.48110000000003,69500217312876.49
3427,148.4811,69500218524995.59
17449,148.2264,69558439820240.82
17499,148.22629999999998,69558441497344.14
15646,148.2262,69558448695570.94
2425,148.2261,69558468791091.99
16848,147.97140000000002,69616686009824.95
17599,147.97129999999999,69616686964622.67
15746,147.9712,69616694162849.47
13292,147.97119999999998,69616701979175.234
2575,147.9711,69616714258370.52
4929,147.97109999999998,69616716296251.42
16397,147.7164,69674932199409.1
17699,147.7163,69674932431901.2
5029,147.71620000000001,69674941742496.67
2625,147.7162,69674946413029.08
17799,147.4613,69733177899179.74
5179,147.46120000000002,69733187209775.21
14894,147.4612,69733189896224.414
17849,147.2064,69791420116458.27
16096,147.2063,69791425533375.08
6631,147.20620000000002,69791433013752.52
6681,147.2062,69791436367959.17
12390,146.95139999999998,69849668730280.59
16246,146.9513,69849671000653.61
5479,146.9512,69849683279848.92
5529,146.95119999999997,69849686634055.57
16847,146.69650000000001,69907912495626.55
18249,146.69639999999998,69907914405221.99
16346,146.6963,69907916467932.16
5629,146.69619999999998,69907928747127.45
16396,146.4414,69966158685210.69
17698,146.4413,69966162167702.8
3125,146.44129999999998,69966170499421.74
7131,146.4412,69966177801104.75
2123,146.44119999999998,69966180225342.93
18549,146.1865,70024403662675.72
18599,146.1864,70024405339779.055
17798,146.18630000000002,70024407634981.33
16546,146.1863,70024409183799.19
7281,146.1862,70024423268383.28
4527,146.18619999999999,70024424480502.38
17848,145.9314,70082649852259.86
16696,145.9313,70082654651077.72
3425,145.9312,70082671496598.77
17447,145.6765,70140896041844.01
18849,145.6764,70140896274336.11
7531,145.6763,70140902567423.71
5528,145.67629999999997,70140913119857.16
7581,145.6762,70140922588456.984
16846,145.42149999999998,70199138981428.125
18949,145.4214,70199141741614.65
7631,145.4213,70199148034702.24
6229,145.42129999999997,70199151052210.13
7681,145.4212,70199168055735.51
19049,145.16649999999998,70257383958893.18
17096,145.1664,70257387802913.33
7731,145.1663,70257393501980.77
6329,145.16629999999998,70257398300798.64
13490,144.9115,70315632572715.484
17246,144.9114,70315633270191.86
7781,144.91129999999998,70315638969259.31
17847,144.6565,70373876338061.47
17346,144.6564,70373878737470.38
6629,144.6563,70373889235355.7
17446,144.4015,70432122527645.6
17496,144.4014,70432124204748.9
7981,144.4013,70432138289333.0
19599,144.1466,70490367505110.62
16845,144.14659999999998,70490368717229.72
19649,144.1465,70490369182213.97
17596,144.1464,70490369672027.44
6228,144.14639999999997,70490377538011.72
8081,144.1463,70490383756611.53
19048,143.8915,70548613694694.77
17696,143.8914,70548615139305.97
7079,143.89139999999998,70548622387191.3
4375,143.8913,70548631984827.03
18547,143.6366,70606859884278.9
19999,143.6365,70606860116771.03
17796,143.63639999999998,70606860606584.52
4525,143.6363,70606877452105.56
17846,143.3815,70665102823863.05
16694,143.38139999999999,70665110872680.9
8431,143.3813,70665125293963.75
20249,143.1266,70723347801328.1
17996,143.1265,70723351645348.23
8531,143.1264,70723357344415.67
7579,143.12630000000001,70723378810060.16
617,143.1263,70723382446417.44
16844,142.8716,70781595203031.31
18246,142.8715,70781597112626.77
8581,142.8714,70781602811694.22
7679,142.87130000000002,70781624277338.69
4925,142.8713,70781625489457.78
19047,142.6166,70839840180496.38
18396,142.6165,70839842579905.3
15792,142.61649999999997,70839847042024.39
7729,142.6164,70839849723583.95
18546,142.3616,70898086370080.48
18596,142.3615,70898088047183.83
17795,142.36149999999998,70898090342386.11
7779,142.3614,70898095190862.5
20899,142.10660000000001,70956331347545.53
17845,142.1066,70956332559664.64
18746,142.10649999999998,70956333514462.36
8981,142.1064,70956344244839.78
967,142.10639999999998,70956362742634.9
20248,141.85160000000002,71014577537129.69
21049,141.8516,71014578491927.4
18846,141.8515,71014578981740.88
5475,141.8514,71014592473055.28
5525,141.85139999999998,71014595827261.94
16843,141.5967,71072821688832.9
21249,141.5966,71072823959205.94
18946,141.5965,71072824449019.42
5625,141.5964,71072837940333.81
19046,141.3416,71131066666297.95
17694,141.3415,71131071360909.16
9481,141.34140000000002,71131085782192.03
2119,141.3414,71131089418549.3
21599,141.0867,71189311643763.0
19146,141.0866,71189315487783.14
21699,141.08659999999998,71189316675072.98
17794,141.0865,71189316828187.7
9631,141.08640000000003,71189331249470.55
4523,141.0864,71189333673708.75
17844,140.8316,71247559045466.23
19296,140.83159999999998,71247560955061.67
19346,140.8315,71247565882164.98
8429,140.8314,71247581515566.94
8479,140.83139999999997,71247588119773.6
20247,140.57670000000002,71305804022931.28
21949,140.5767,71305805932526.72
19446,140.57659999999998,71305806422340.2
8529,140.5765,71305813566018.84
3521,140.57649999999998,71305822698670.34
9981,140.5764,71305830569544.25
615,140.57639999999998,71305838668020.62
